date,team,opponent,venue,xg_pre_market_for,xg_pre_market_against,xg_actual_for,xg_actual_against,goals_for,goals_against,xg_delta_for,xg_delta_against,xg_delta_for_rolling,xg_delta_against_rolling,opponent_avg_xg_delta_for,opponent_avg_xg_delta_against,xg_delta_for_adj,xg_delta_against_adj,xg_delta_for_adj_rolling,xg_delta_against_adj_rolling,xpts_actual,xpts_market,xpts_delta,xpts_actual_cumulative,xpts_market_cumulative
2026-08-29,Dundee United,Kilmarnock,away,1.351,1.464,3.42,1.13,4,0,2.069,-0.3340000000000001,0.4779999999999999,-0.16425000000000006,-0.30225,0.53325,1.53575,-0.031750000000000056,0.31916249999999996,-0.18573750000000008,2.518,1.298,1.22,5.653,4.365
2026-09-02,Dundee United,Motherwell,away,1.194,1.723,0.16,2.37,0,3,-1.034,0.647,0.17559999999999992,-0.002000000000000046,0.35700000000000004,0.891,-1.925,0.29,-0.12967000000000004,-0.09059000000000006,0.162,1.032,-0.87,5.815,5.397
2026-09-05,Dundee United,Falkirk,home,1.735,1.157,2.65,1.22,1,1,0.9149999999999998,0.06299999999999994,0.29883333333333323,0.008833333333333285,-0.486,0.0197500000000001,0.8952499999999997,0.5489999999999999,0.04114999999999991,0.016008333333333274,2.203,1.764,0.439,8.018,7.161
2026-08-01,Falkirk,St Mirren,home,1.643,1.172,0.55,1.57,0,2,-1.093,0.39800000000000013,-1.093,0.39800000000000013,0.47379999999999994,0.2225999999999999,-1.3155999999999999,-0.07579999999999981,-1.3155999999999999,-0.07579999999999981,0.631,1.695,-1.064,0.631,1.695
2026-08-09,Falkirk,Motherwell,away,1.102,1.776,0.55,1.27,0,0,-0.552,-0.506,-0.8225,-0.05399999999999994,0.6452500000000001,0.7705,-1.3225,-1.15125,-1.3190499999999998,-0.613525,0.779,0.938,-0.159,1.41,2.633
2026-08-29,Falkirk,Celtic,away,0.822,2.777,0.57,3.45,1,2,-0.252,0.673,-0.6323333333333333,0.18833333333333338,0.5790000000000001,0.0242,-0.2762,0.09399999999999997,-0.9714333333333333,-0.3776833333333333,0.167,0.388,-0.221,1.577,3.021
2026-09-02,Falkirk,Rangers,home,1.047,2.046,1.0,1.56,1,2,-0.04699999999999993,-0.48599999999999977,-0.486,0.0197500000000001,0.33100000000000007,0.13099999999999995,-0.17799999999999988,-0.8169999999999998,-0.773075,-0.48751249999999996,0.982,0.77,0.212,2.559,3.791
2026-09-05,Falkirk,Dundee United,away,1.157,1.735,1.22,2.65,1,1,0.06299999999999994,0.9149999999999998,-0.3762,0.19880000000000003,0.17559999999999992,-0.002000000000000046,0.06499999999999999,0.7393999999999998,-0.60546,-0.24213,0.63,0.999,-0.369,3.189,4.79
2026-08-01,Heart of Midlothian,Aberdeen,away,1.588,1.272,1.83,2.66,1,2,0.242,1.3880000000000001,0.242,1.3880000000000001,-0.60025,0.16725000000000007,0.07474999999999993,1.98825,0.07474999999999993,1.98825,0.963,1.589,-0.626,0.963,1.589
2026-08-09,Heart of Midlothian,Dundee United,home,1.924,0.979,2.15,0.58,4,0,0.22599999999999998,-0.399,0.23399999999999999,0.49450000000000005,0.43839999999999985,-0.034600000000000054,0.26060000000000005,-0.8373999999999999,0.167675,0.5754250000000001,2.389,2.002,0.387,3.352,3.591
2026-08-29,Heart of Midlothian,St Johnstone,home,1.818,1.03,2.2,1.28,2,1,0.3820000000000001,0.25,0.2833333333333334,0.41300000000000003,0.15299999999999994,0.045600000000000016,0.3364000000000001,0.09700000000000006,0.22391666666666668,0.41595000000000004,1.95,1.904,0.046,5.302,5.495
2026-09-03,Heart of Midlothian,Hibernian,away,1.342,1.406,0.86,1.47,3,1,-0.4820000000000001,0.06400000000000006,0.092,0.32575000000000004,0.534,0.4607500000000001,-0.9427500000000002,-0.47,-0.06775000000000003,0.19446250000000007,0.925,1.328,-0.403,6.227,6.823
2026-09-06,Heart of Midlothian,Dundee,home,2.118,0.96,1.92,0.42,2,1,-0.19799999999999995,-0.54,0.03400000000000001,0.1526,0.16659999999999997,-0.22200000000000003,0.024000000000000077,-0.7066,-0.04940000000000001,0.01425000000000005,2.402,2.118,0.284,8.629,8.941
2026-08-02,Hibernian,Motherwell,home,1.518,1.246,1.94,2.19,1,2,0.42199999999999993,0.944,0.42199999999999993,0.944,0.28275000000000006,0.5269999999999999,-0.10499999999999998,0.6612499999999999,-0.10499999999999998,0.6612499999999999,1.257,1.56,-0.303,1.257,1.56
2026-08-09,Hibernian,Rangers,away,1.02,2.126,1.7,2.22,2,1,0.6799999999999999,0.0940000000000003,0.5509999999999999,0.5190000000000001,0.21500000000000002,-0.014400000000000034,0.6944,-0.12099999999999972,0.2947,0.27012500000000006,1.097,0.717,0.38,2.354,2.277
2026-08-30,Hibernian,Dundee,away,1.508,1.216,2.33,1.01,2,1,0.8220000000000001,-0.20599999999999996,0.6413333333333333,0.27733333333333343,0.09979999999999996,-0.426,1.248,-0.3057999999999999,0.6124666666666667,0.0781500000000001,2.188,1.574,0.614,4.542,3.851
2026-09-03,Hibernian,Heart of Midlothian,home,1.406,1.342,1.47,0.86,1,3,0.06400000000000006,-0.4820000000000001,0.497,0.08750000000000005,0.16300000000000003,0.17475000000000002,-0.11074999999999996,-0.6450000000000001,0.4316625,-0.10263749999999996,1.809,1.416,0.393,6.351,5.267
2026-09-06,Hibernian,St Johnstone,away,1.398,1.309,1.61,2.32,1,2,0.2120000000000002,1.011,0.44000000000000006,0.27220000000000005,0.0007999999999999563,0.0796,0.13240000000000018,1.0102,0.37181000000000003,0.11993000000000002,0.994,1.433,-0.439,7.345,6.7
2026-08-02,Kilmarnock,St Johnstone,away,1.237,1.551,0.92,2.03,3,4,-0.31700000000000006,0.47899999999999987,-0.31700000000000006,0.47899999999999987,0.10719999999999996,0.18540000000000006,-0.5024000000000002,0.3717999999999999,-0.5024000000000002,0.3717999999999999,0.694,1.162,-0.468,0.694,1.162
2026-08-09,Kilmarnock,Celtic,home,0.98,2.398,0.98,5.44,1,5,0.0,3.0420000000000003,-0.15850000000000003,1.7605,0.10520000000000004,-0.0262,0.0262,2.9368000000000003,-0.2381000000000001,1.6543,0.081,0.587,-0.506,0.775,1.749
2026-08-29,Kilmarnock,Dundee United,home,1.464,1.351,1.13,3.42,0,4,-0.3340000000000001,2.069,-0.21700000000000005,1.8633333333333333,-0.055200000000000096,0.07739999999999995,-0.41140000000000004,2.1242,-0.2958666666666667,1.8109333333333335,0.367,1.451,-1.084,1.142,3.2
2026-09-02,Kilmarnock,St Mirren,home,1.33,1.439,0.41,0.85,0,1,-0.9200000000000002,-0.5890000000000001,-0.39275000000000004,1.25025,0.6712,0.18799999999999994,-1.108,-1.2602000000000002,-0.49890000000000007,1.04315,0.897,1.299,-0.402,2.039,4.499
2026-09-05,Kilmarnock,Aberdeen,away,1.082,1.879,1.11,1.08,0,0,0.028000000000000025,-0.7989999999999999,-0.30860000000000004,0.8404,-0.05349999999999999,0.22075000000000006,-0.19275000000000003,-0.7454999999999999,-0.43767000000000006,0.68542,1.377,0.872,0.505,3.416,5.371
2026-08-02,Motherwell,Hibernian,away,1.246,1.518,2.19,1.94,2,1,0.944,0.42199999999999993,0.944,0.42199999999999993,0.44450000000000006,0.10425000000000006,0.8397499999999999,-0.02250000000000013,0.8397499999999999,-0.02250000000000013,1.541,1.188,0.353,1.541,1.188
2026-08-09,Motherwell,Falkirk,home,1.776,1.102,1.27,0.55,0,0,-0.506,-0.552,0.21899999999999997,-0.06500000000000006,-0.33225,0.37500000000000006,-0.881,-0.21975000000000006,-0.02062500000000006,-0.1211250000000001,1.924,1.828,0.096,3.465,3.016
2026-08-30,Motherwell,St Mirren,away,1.27,1.346,2.45,2.92,3,3,1.1800000000000002,1.5739999999999998,0.5393333333333333,0.4813333333333332,0.2386,-0.23200000000000012,1.4120000000000004,1.3354,0.4569166666666667,0.3643833333333332,1.178,1.315,-0.137,4.643,4.331
2026-09-02,Motherwell,Dundee United,home,1.723,1.194,2.37,0.16,3,0,0.647,-1.034,0.56625,0.10249999999999992,0.5653999999999999,-0.11880000000000006,0.7658,-1.5994,0.5341375,-0.12656250000000008,2.725,1.731,0.994,7.368,6.062
2026-09-05,Motherwell,Rangers,away,0.89,2.16,0.7,4.28,0,1,-0.19000000000000006,2.12,0.41500000000000004,0.506,-0.19019999999999992,0.15959999999999996,-0.3496,2.3102,0.35739,0.36078999999999994,0.114,0.622,-0.508,7.482,6.684
2026-07-31,Rangers,Dundee United,away,2.214,1.05,1.46,1.64,1,1,-0.754,0.5899999999999999,-0.754,0.5899999999999999,0.24059999999999993,0.16139999999999993,-0.9154,0.34939999999999993,-0.9154,0.34939999999999993,1.264,2.106,-0.842,1.264,2.106
2026-08-09,Rangers,Hibernian,home,2.126,1.02,2.22,1.7,1,2,0.0940000000000003,0.6799999999999999,-0.32999999999999985,0.6349999999999999,0.38000000000000006,0.31675,-0.22274999999999967,0.2999999999999999,-0.5690749999999998,0.3246999999999999,1.699,2.082,-0.383,2.963,4.188
2026-08-30,Rangers,Aberdeen,away,1.875,1.137,2.1,0.35,1,0,0.2250000000000001,-0.787,-0.14499999999999988,0.16099999999999992,-0.05649999999999997,0.17150000000000004,0.05350000000000005,-0.7305,-0.36154999999999987,-0.027033333333333392,2.524,1.863,0.661,5.487,6.051
2026-09-02,Rangers,Falkirk,away,2.046,1.047,1.56,1.0,2,1,-0.48599999999999977,-0.04699999999999993,-0.23024999999999984,0.10899999999999996,-0.4585,0.37,-0.8559999999999998,0.4115000000000001,-0.48516249999999983,0.08259999999999998,1.764,2.022,-0.258,7.251,8.073
2026-09-05,Rangers,Motherwell,home,2.16,0.89,4.28,0.7,1,0,2.12,-0.19000000000000006,0.23980000000000015,0.04919999999999995,0.56625,0.10249999999999992,2.0175,-0.7562500000000001,0.015370000000000151,-0.08517000000000004,2.823,2.186,0.637,10.074,10.259
2026-09-09,Rangers,St Mirren,home,2.49,0.898,2.46,1.26,1,0,-0.03000000000000025,0.362,0.1948333333333334,0.10133333333333329,0.481,0.009999999999999964,-0.040000000000000216,-0.119,0.006141666666666756,-0.09080833333333337,2.093,2.327,-0.234,12.167,12.586
2026-08-02,St Johnstone,Kilmarnock,home,1.551,1.237,2.03,0.92,4,3,0.47899999999999987,-0.31700000000000006,0.47899999999999987,-0.31700000000000006,-0.3065,0.93075,-0.4517500000000001,-0.010500000000000065,-0.4517500000000001,-0.010500000000000065,2.1,1.588,0.512,2.1,1.588
2026-08-08,St Johnstone,St Mirren,away,1.228,1.475,1.17,1.58,0,1,-0.05800000000000005,0.10499999999999998,0.2104999999999999,-0.10600000000000004,0.5324,0.015599999999999925,-0.07359999999999997,-0.4274,-0.26267500000000005,-0.21895000000000003,1.096,1.202,-0.106,3.196,2.79
2026-08-29,St Johnstone,Heart of Midlothian,away,1.03,1.818,1.28,2.2,1,2,0.25,0.3820000000000001,0.2236666666666666,0.05666666666666668,-0.05300000000000002,0.12825000000000003,0.12174999999999997,0.43500000000000016,-0.13453333333333337,-0.0009666666666666343,0.848,0.866,-0.018,4.044,3.656
2026-09-02,St Johnstone,Dundee,away,1.374,1.374,1.07,2.04,1,1,-0.30400000000000005,0.6659999999999999,0.09174999999999994,0.209,-0.07460000000000003,-0.2008,-0.10320000000000004,0.7405999999999999,-0.12670000000000003,0.184425,0.787,1.372,-0.585,4.831,5.028
2026-09-06,St Johnstone,Hibernian,home,1.309,1.398,2.32,1.61,2,1,1.011,0.2120000000000002,0.27559999999999996,0.2096,0.497,0.08750000000000008,0.9234999999999998,-0.2849999999999998,0.08333999999999993,0.09054000000000004,1.809,1.31,0.499,6.64,6.338
2026-09-09,St Johnstone,Celtic,home,1.053,2.238,0.69,1.8,0,1,-0.363,-0.43799999999999994,0.1691666666666666,0.1016666666666667,0.8012,0.0464,-0.4094,-1.2391999999999999,0.0012166666666666066,-0.13108333333333327,0.635,0.691,-0.056,7.275,7.029
2026-08-01,St Mirren,Falkirk,away,1.172,1.643,1.57,0.55,2,0,0.39800000000000013,-1.093,0.39800000000000013,-1.093,-0.197,0.14900000000000002,0.2490000000000001,-0.8959999999999999,0.2490000000000001,-0.8959999999999999,2.12,1.061,1.059,2.12,1.061
2026-08-08,St Mirren,St Johnstone,home,1.475,1.228,1.58,1.17,1,0,0.10499999999999998,-0.05800000000000005,0.25150000000000006,-0.5755,0.21459999999999996,0.10100000000000005,0.003999999999999934,-0.2726,0.12650000000000003,-0.5842999999999999,1.655,1.542,0.113,3.775,2.603
2026-08-30,St Mirren,Motherwell,home,1.346,1.27,2.92,2.45,3,3,1.5739999999999998,1.1800000000000002,0.6923333333333334,0.009666666666666712,0.22375,0.239,1.335,0.9562500000000002,0.5293333333333333,-0.07078333333333327,1.648,1.422,0.226,5.423,4.025
2026-09-02,St Mirren,Kilmarnock,away,1.439,1.33,0.85,0.41,1,0,-0.5890000000000001,-0.9200000000000002,0.372,-0.22275,-0.15575,1.19775,-1.78675,-0.7642500000000001,-0.049687499999999996,-0.24414999999999998,1.712,1.447,0.265,7.135,5.472
2026-09-05,St Mirren,Celtic,home,1.033,2.249,1.95,3.19,1,2,0.917,0.9409999999999998,0.481,0.009999999999999964,0.5254000000000001,-0.2096,1.1266,0.41559999999999975,0.18557,-0.11220000000000004,0.808,0.675,0.133,7.943,6.147
2026-09-09,St Mirren,Rangers,away,0.898,2.49,1.26,2.46,0,1,0.362,-0.03000000000000025,0.46116666666666667,0.0033333333333332624,0.23980000000000015,0.04919999999999995,0.3128,-0.2698000000000004,0.20677500000000001,-0.13846666666666677,0.725,0.509,0.216,8.668,6.656
