Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
SC0,19/09/2026,15:00,Dundee,Motherwell,R Hardie,3.0,3.4,2.25,3.1,3.5,2.25,2.8,3.4,2.25,2.9,3.6,2.2,3.2,3.4,2.15,3.1,3.3,2.15,3.2,3.6,2.3,2.99,3.4,2.23,3.0,3.4,2.36,1.73,2.1,1.75,2.1,1.71,2.04,1.69,2.18,0.25,1.83,2.03,1.83,2.03,1.79,1.94,1.86,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC0,19/09/2026,15:00,Hibernian,Aberdeen,N Walsh,1.68,3.8,4.5,1.73,4.0,4.33,1.7,3.75,4.2,1.73,3.8,4.33,1.75,3.75,4.5,1.73,3.6,4.33,1.75,4.0,4.6,1.71,3.8,4.35,1.81,4.0,4.5,1.73,2.1,1.73,2.15,1.66,2.12,1.69,2.28,-0.75,1.95,1.9,1.95,1.9,1.89,1.84,2.01,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC0,19/09/2026,15:00,St Johnstone,Falkirk,C Scott,2.01,3.5,3.5,2.05,3.6,3.4,2.0,3.4,3.4,2.0,3.5,3.4,2.15,3.6,3.1,2.15,3.4,3.0,2.15,3.6,3.5,2.03,3.49,3.35,2.14,3.55,3.6,1.91,1.91,1.91,1.95,1.82,1.9,1.92,2.0,-0.5,2.05,1.8,2.05,1.8,1.98,1.75,2.14,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC0,19/09/2026,15:00,St Mirren,Dundee United,D Dickinson,2.3,3.6,2.82,2.4,3.6,2.75,2.3,3.5,2.7,2.3,3.6,2.75,2.4,3.1,3.0,2.38,3.1,2.88,2.4,3.6,3.0,2.33,3.49,2.77,2.38,3.8,2.8,1.67,2.2,1.67,2.3,1.62,2.21,1.59,2.34,-0.25,2.05,1.8,2.05,1.8,2.0,1.75,2.08,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC0,19/09/2026,17:45,Kilmarnock,Hearts,D Nicolson,4.75,4.1,1.61,4.6,4.2,1.67,4.6,4.0,1.6,4.6,4.0,1.65,4.5,3.8,1.67,4.33,3.8,1.67,4.75,4.2,1.67,4.59,4.04,1.64,5.0,4.3,1.68,1.57,2.38,1.57,2.4,1.53,2.38,1.58,2.52,0.75,2.05,1.8,2.05,1.8,1.97,1.77,2.09,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC0,20/09/2026,12:00,Celtic,Rangers,J Beaton,2.15,3.7,3.0,2.2,3.75,3.0,2.1,3.7,2.88,2.1,3.6,3.2,2.2,3.6,2.9,2.2,3.5,2.88,2.22,3.75,3.2,2.16,3.63,2.98,2.32,3.95,3.05,1.53,2.5,1.58,2.55,1.52,2.42,1.59,2.58,-0.25,1.93,1.93,1.93,1.93,1.89,1.85,2.02,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
