date,team,opponent,venue,xg_pre_market_for,xg_pre_market_against,xg_actual_for,xg_actual_against,goals_for,goals_against,xg_delta_for,xg_delta_against,xg_delta_for_rolling,xg_delta_against_rolling,opponent_avg_xg_delta_for,opponent_avg_xg_delta_against,xg_delta_for_adj,xg_delta_against_adj,xg_delta_for_adj_rolling,xg_delta_against_adj_rolling,xpts_actual,xpts_market,xpts_delta,xpts_actual_cumulative,xpts_market_cumulative
2026-08-15,AFC Wimbledon,Huddersfield Town,away,0.97,1.91,0.38,1.24,0,3,-0.59,-0.6699999999999999,-0.59,-0.6699999999999999,0.4051666666666666,0.013833333333333309,-0.6038333333333332,-1.0751666666666666,-0.6038333333333332,-1.0751666666666666,0.643,0.781,-0.138,0.643,0.781
2026-08-22,AFC Wimbledon,Reading,home,1.297,1.276,0.37,1.28,0,0,-0.9269999999999999,0.0040000000000000036,-0.7585,-0.33299999999999996,1.1141999999999999,-0.23419999999999996,-0.6928,-1.1101999999999999,-0.6483166666666667,-1.0926833333333332,0.614,1.382,-0.768,1.257,2.163
2026-08-30,AFC Wimbledon,Wigan Athletic,home,1.113,1.391,1.21,2.96,1,0,0.09699999999999998,1.569,-0.47333333333333333,0.301,0.19700000000000006,0.283,-0.186,1.3719999999999999,-0.4942111111111111,-0.2711222222222222,0.523,1.169,-0.646,1.78,3.332
2026-09-02,AFC Wimbledon,Burton Albion,away,0.994,1.531,1.34,0.92,1,4,0.3460000000000001,-0.6109999999999999,-0.26849999999999996,0.07300000000000004,-0.262,-0.09700000000000002,0.4430000000000001,-0.34899999999999987,-0.2599083333333333,-0.2905916666666666,1.672,0.994,0.678,3.452,4.326
2026-09-07,AFC Wimbledon,Bromley,away,1.243,1.394,1.22,0.55,2,0,-0.02300000000000013,-0.8439999999999999,-0.21939999999999998,-0.11039999999999994,-0.13549999999999998,0.34616666666666673,-0.36916666666666687,-0.7084999999999999,-0.28175999999999995,-0.37417333333333325,1.888,1.264,0.624,5.34,5.59
2026-09-12,AFC Wimbledon,Doncaster Rovers,home,1.32,1.32,0.81,2.41,1,0,-0.51,1.09,-0.2678333333333333,0.08966666666666673,0.022666666666666686,-0.22866666666666677,-0.2813333333333332,1.0673333333333335,-0.2816888888888889,-0.13392222222222214,0.486,1.369,-0.883,5.826,6.959
2026-09-17,AFC Wimbledon,Milton Keynes Dons,home,1.246,1.47,1.28,1.02,0,0,0.03400000000000003,-0.44999999999999996,-0.1638333333333333,0.12633333333333338,0.2317142857142858,0.2149999999999999,-0.18099999999999988,-0.6817142857142857,-0.21121666666666664,-0.06834682539682531,1.552,1.218,0.334,7.378,8.177
2026-09-17,AFC Wimbledon,Milton Keynes Dons,home,1.246,1.47,1.24,1.06,0,0,-0.006000000000000005,-0.4099999999999999,-0.010333333333333342,0.0573333333333334,0.22600000000000006,0.22071428571428564,-0.22671428571428565,-0.636,-0.13353571428571423,0.010686507936507994,1.492,1.218,0.274,8.87,9.395
2026-08-15,Barnsley,Bromley,home,1.551,1.171,1.32,1.42,0,1,-0.23099999999999987,0.2489999999999999,-0.23099999999999987,0.2489999999999999,-0.3176666666666666,0.38083333333333336,-0.6118333333333332,0.5666666666666664,-0.6118333333333332,0.5666666666666664,1.304,1.634,-0.33,1.304,1.634
2026-08-22,Barnsley,Doncaster Rovers,away,1.211,1.678,0.45,1.82,0,0,-0.7610000000000001,0.14200000000000013,-0.496,0.1955,0.18066666666666667,-0.1868333333333334,-0.5741666666666667,-0.038666666666666544,-0.593,0.26399999999999996,0.459,1.069,-0.61,1.763,2.703
2026-08-29,Barnsley,Leyton Orient,away,1.265,1.533,2.13,0.62,3,1,0.865,-0.9129999999999999,-0.042333333333333334,-0.17399999999999996,-0.23816666666666672,0.21833333333333338,0.6466666666666666,-0.6748333333333332,-0.1797777777777778,-0.04894444444444442,2.354,1.193,1.161,4.117,3.896
2026-09-02,Barnsley,Blackpool,home,1.601,1.305,2.43,2.08,2,1,0.8290000000000002,0.7750000000000001,0.17550000000000004,0.06325000000000006,0.09916666666666674,0.9023333333333333,-0.07333333333333314,0.6758333333333334,-0.15316666666666662,0.13225000000000003,1.595,1.575,0.02,5.712,5.471
2026-09-05,Barnsley,Stevenage,home,1.497,1.112,1.79,1.98,1,5,0.2929999999999999,0.8679999999999999,0.199,0.2242,-0.2686666666666666,-0.40633333333333327,0.6993333333333331,1.1366666666666665,0.017333333333333333,0.33313333333333334,1.281,1.64,-0.359,6.993,7.111
2026-09-12,Barnsley,Plymouth,away,1.124,2.096,0.77,0.99,0,3,-0.3540000000000001,-1.106,0.10683333333333334,0.002500000000000021,0.08133333333333326,0.11183333333333333,-0.46583333333333343,-1.1873333333333334,-0.06319444444444446,0.07972222222222221,1.153,0.797,0.356,8.146,7.908
2026-09-19,Barnsley,Leicester City,home,1.424,1.882,1.18,2.4,1,1,-0.244,0.518,0.10466666666666664,0.04733333333333337,-0.43450000000000005,0.3023333333333334,-0.5463333333333333,0.9525000000000001,-0.05227777777777781,0.14402777777777784,0.702,1.101,-0.399,8.848,9.009
2026-08-15,Blackpool,Wycombe Wanderers,home,1.359,1.298,2.37,1.29,1,1,1.0110000000000001,-0.008000000000000007,1.0110000000000001,-0.008000000000000007,0.027333333333333282,-0.13049999999999998,1.1415000000000002,-0.035333333333333286,1.1415000000000002,-0.035333333333333286,2.031,1.412,0.619,2.031,1.412
2026-08-22,Blackpool,Stockport County,away,0.922,1.878,1.79,3.54,2,1,0.868,1.6620000000000001,0.9395,0.8270000000000001,0.1188333333333333,-0.2086666666666667,1.0766666666666667,1.5431666666666668,1.1090833333333334,0.7539166666666668,0.613,0.763,-0.15,2.644,2.175
2026-08-29,Blackpool,Peterborough United,home,1.888,1.141,2.68,1.46,4,0,0.7920000000000003,0.31899999999999995,0.8903333333333334,0.6576666666666667,-0.0366666666666667,-0.36433333333333334,1.1563333333333337,0.35566666666666663,1.1248333333333334,0.6211666666666668,2.077,1.868,0.209,4.721,4.043
2026-09-02,Blackpool,Barnsley,away,1.305,1.601,2.08,2.43,1,2,0.7750000000000001,0.8290000000000002,0.8615000000000002,0.7005000000000001,-0.07200000000000002,-0.04033333333333333,0.8153333333333335,0.9010000000000002,1.0474583333333336,0.6911250000000001,1.213,1.18,0.033,5.934,5.223
2026-09-05,Blackpool,Reading,away,1.135,1.659,0.53,3.52,1,3,-0.605,1.861,0.5682000000000001,0.9326000000000001,0.7428000000000001,-0.2986,-0.3064,1.1181999999999999,0.7766866666666667,0.77654,0.147,1.025,-0.878,6.081,6.248
2026-09-12,Blackpool,Bromley,home,1.813,1.042,1.17,1.38,2,2,-0.643,0.33799999999999986,0.3663333333333334,0.8335,-0.33249999999999996,0.4495,-1.0925,0.6704999999999999,0.4651555555555557,0.7588666666666667,1.219,1.893,-0.674,7.3,8.141
2026-09-19,Blackpool,Plymouth,home,1.488,1.528,0.66,2.77,2,4,-0.828,1.242,0.059833333333333405,1.0418333333333334,-0.3100000000000001,0.1908333333333333,-1.0188333333333333,1.552,0.10510000000000008,1.0234222222222222,0.314,1.353,-1.039,7.614,9.494
2026-08-15,Bradford City,Peterborough United,home,1.811,0.959,1.97,1.11,2,0,0.15900000000000003,0.15100000000000013,0.15900000000000003,0.15100000000000013,-0.00866666666666673,-0.2588333333333333,0.41783333333333333,0.15966666666666687,0.41783333333333333,0.15966666666666687,1.937,1.951,-0.014,1.937,1.951
2026-08-20,Bradford City,Sheffield Wednesday,away,1.273,1.365,0.59,1.49,1,0,-0.6829999999999999,0.125,-0.26199999999999996,0.13800000000000007,0.49000000000000005,0.23316666666666672,-0.9161666666666667,-0.36500000000000005,-0.24916666666666668,-0.10266666666666659,0.7,1.305,-0.605,2.637,3.256
2026-08-29,Bradford City,Plymouth,away,1.243,1.553,0.88,1.22,0,2,-0.3630000000000001,-0.33299999999999996,-0.2956666666666667,-0.018999999999999944,-0.0475000000000001,0.11333333333333333,-0.47633333333333344,-0.28549999999999986,-0.32488888888888895,-0.163611111111111,1.093,1.165,-0.072,3.73,4.421
